,id,symbol,name
0,01coin,zoc,01coin
1,0-5x-long-algorand-token,algohalf,0.5X Long Algorand Token
2,0-5x-long-altcoin-index-token,althalf,0.5X Long Altcoin Index Token
3,0-5x-long-balancer-token,balhalf,0.5X Long Balancer Token
4,0-5x-long-bilibra-token,trybhalf,0.5X Long BiLira Token
5,0-5x-long-bitcoin-cash-token,bchhalf,0.5X Long Bitcoin Cash Token
6,0-5x-long-bitcoin-sv-token,bsvhalf,0.5X Long Bitcoin SV Token
7,0-5x-long-bitcoin-token,half,0.5X Long Bitcoin Token
8,0-5x-long-bitmax-token-token,btmxhalf,0.5X Long BitMax Token Token
9,0-5x-long-bnb-token,bnbhalf,0.5X Long BNB Token
